Date,Open,High,Low,Close,Adj Close,Volume
2016-02-26,29.000000,29.350000,28.504999,28.535000,28.535000,316145
2016-02-29,28.459999,28.875000,27.900000,28.809999,28.809999,690802
2016-03-01,28.990000,30.344999,27.950001,30.000000,30.000000,1789503
2016-03-02,30.155001,30.580000,29.020000,29.225000,29.225000,949778
2016-03-03,29.200001,29.715000,28.820000,29.535000,29.535000,481541
2016-03-04,29.575001,29.660000,28.875000,29.504999,29.504999,728770
2016-03-07,29.445000,29.500000,29.040001,29.395000,29.395000,412907
2016-03-08,28.990000,29.230000,28.600000,28.780001,28.780001,281512
2016-03-09,28.805000,29.100000,28.320000,28.600000,28.600000,376957
2016-03-10,28.500000,29.400000,28.420000,28.434999,28.434999,525067
2016-03-11,28.920000,29.375000,28.600000,29.309999,29.309999,402491
2016-03-14,29.400000,29.695000,29.205000,29.219999,29.219999,356303
2016-03-15,28.990000,28.990000,28.094999,28.584999,28.584999,673346
2016-03-16,28.660000,28.684999,28.075001,28.240000,28.240000,546259
2016-03-17,28.490000,28.490000,27.049999,27.219999,27.219999,631023
2016-03-18,27.350000,27.490000,26.730000,27.360001,27.360001,1165604
2016-03-21,27.350000,29.270000,27.200001,29.040001,29.040001,885210
2016-03-22,28.965000,29.049999,28.000000,28.084999,28.084999,556680
2016-03-23,28.434999,29.450001,28.385000,29.360001,29.360001,589064
2016-03-24,29.200001,29.250000,28.334999,28.459999,28.459999,382869
2016-03-29,28.785000,28.785000,28.010000,28.315001,28.315001,313395
2016-03-30,28.535000,29.135000,28.450001,28.850000,28.850000,208526
2016-03-31,28.635000,29.055000,28.525000,28.850000,28.850000,441446
2016-04-01,28.525000,28.875000,28.309999,28.844999,28.844999,335177
2016-04-04,28.785000,29.264999,28.605000,28.705000,28.705000,302937
2016-04-05,28.350000,28.540001,28.139999,28.290001,28.290001,297753
2016-04-06,28.290001,28.750000,28.000000,28.680000,28.680000,226640
2016-04-07,28.684999,28.795000,28.000000,28.105000,28.105000,336384
2016-04-08,28.290001,28.615000,28.250000,28.575001,28.575001,202063
2016-04-11,28.594999,29.320000,28.235001,29.205000,29.205000,346178
2016-04-12,29.405001,29.594999,29.105000,29.500000,29.500000,397325
2016-04-13,29.709999,30.764999,29.430000,30.030001,30.030001,750367
2016-04-14,30.090000,30.590000,29.950001,30.160000,30.160000,357489
2016-04-15,30.150000,30.290001,29.309999,29.639999,29.639999,484161
2016-04-18,29.150000,30.070000,29.150000,30.000000,30.000000,459782
2016-04-19,28.400000,29.650000,28.400000,29.309999,29.309999,1551844
2016-04-20,29.370001,29.370001,28.684999,28.980000,28.980000,472916
2016-04-21,29.094999,29.094999,28.334999,28.575001,28.575001,415011
2016-04-22,28.500000,28.959999,28.375000,28.750000,28.750000,217351
2016-04-25,28.805000,28.850000,28.530001,28.670000,28.670000,207287
2016-04-26,28.815001,28.815001,28.365000,28.445000,28.445000,218141
2016-04-27,28.559999,29.275000,28.305000,29.170000,29.170000,365251
2016-04-28,28.915001,29.600000,28.660000,29.540001,29.540001,270837
2016-04-29,29.385000,29.570000,28.940001,28.940001,28.940001,433495
2016-05-02,28.920000,29.065001,28.420000,28.475000,28.475000,145958
2016-05-03,28.600000,28.715000,28.295000,28.334999,28.334999,429573
2016-05-04,28.299999,28.480000,28.200001,28.424999,28.424999,278299
2016-05-05,28.500000,28.655001,28.115000,28.254999,28.254999,219076
2016-05-06,28.094999,28.200001,27.660000,27.969999,27.969999,400022
2016-05-09,28.195000,28.530001,28.094999,28.365000,28.365000,294484
2016-05-10,28.584999,29.415001,28.545000,29.415001,29.415001,333911
2016-05-11,29.490000,29.715000,29.270000,29.540001,29.540001,443427
2016-05-12,29.545000,29.655001,26.555000,28.275000,28.275000,1952266
2016-05-13,28.065001,28.065001,27.400000,28.020000,28.020000,774418
2016-05-17,28.195000,28.205000,26.350000,26.805000,26.805000,1058004
2016-05-18,26.825001,27.805000,26.825001,27.760000,27.760000,679626
2016-05-19,27.705000,27.705000,27.120001,27.305000,27.305000,286298
2016-05-20,27.530001,27.725000,27.350000,27.490000,27.490000,404281
2016-05-23,27.545000,27.709999,27.205000,27.370001,27.370001,331241
2016-05-24,27.270000,27.290001,26.725000,26.725000,26.725000,587647
2016-05-25,27.000000,27.094999,26.260000,26.590000,26.590000,748584
2016-05-26,26.655001,27.275000,26.575001,27.150000,27.150000,488047
2016-05-27,27.160000,27.350000,26.915001,27.070000,27.070000,363564
2016-05-30,27.165001,27.580000,26.940001,26.980000,26.980000,339242
2016-05-31,27.135000,27.275000,26.235001,26.344999,26.344999,743022
2016-06-01,26.290001,26.290001,25.355000,25.600000,25.600000,778248
2016-06-02,25.674999,26.415001,25.430000,26.350000,26.350000,486549
2016-06-03,26.355000,26.584999,25.995001,26.285000,26.285000,527371
2016-06-06,26.280001,26.525000,26.020000,26.299999,26.299999,339823
2016-06-07,26.475000,26.834999,26.315001,26.750000,26.750000,374647
2016-06-08,26.844999,26.995001,26.620001,26.870001,26.870001,384674
2016-06-09,26.680000,26.834999,26.400000,26.559999,26.559999,407060
2016-06-10,26.445000,26.615000,25.895000,25.959999,25.959999,400257
2016-06-13,25.600000,25.850000,25.445000,25.559999,25.559999,461113
2016-06-14,25.264999,25.400000,25.049999,25.270000,25.270000,539938
2016-06-15,25.480000,25.635000,25.125000,25.389999,25.389999,467257
2016-06-16,25.100000,25.594999,25.100000,25.525000,25.525000,539737
